feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9
17651000000	19254000000	21652000000	28258000000	21012000000	21643000000	25694000000	27148000000	27442000000
218920000	170150000	285410000	508550000	342570000		215370000	163180000	292180000
95780000				33644000	49682000		41913000	83345000
32388000000	30696000000	26535000000	26447000000	27216000000	29291000000	29549000000	27532000000	27852000000
	114500000	145290000	326520000	149230000		150180000		173060000
	92863000		129000000		120620000	96468000	104540000	103820000
	3775100							1287500
1242100000	1655300000	1435600000	1340500000	1283800000	1099600000	938110000	1281700000	1221400000
	242520000	153210000	187450000	100100000		120080000	131870000	131410000
453260000	396750000	475150000	469710000	362690000	446640000	523920000	412920000	509770000
		65176000	96646000			158050000		
323150000	402840000	325980000	625580000	298560000	435650000	502820000	505190000	488160000
1524300000	1626700000	2008800000	2470500000	2159200000	2151200000	2173600000	2119200000	2103600000
98027000	48793000	111670000	24509000	429970000	191060000	344740000	196950000	51620000
					14009000		14549000	8233600
192460000	180040000	250070000	252960000	134870000	283200000	193690000	221440000	300070000
17831000000	15591000000	15774000000	12306000000	9915700000	12375000000	16239000000	12437000000	16710000000
286210000	386820000	339210000	572130000	124220000	241000000	227980000	311500000	
		160110000		274630000				899880000
493060000	230300000	476260000	334440000	251470000	466830000	283020000	178120000	245230000
		134800000	159880000				285110000	155960000
	176880000	169820000	217460000	181520000	91381000		134140000	160280000
2835400000	2888200000	2835300000	2821500000	2356100000	2626300000	2581500000	3254000000	2338500000
333440000	229580000	225350000	263770000	226600000	236000000	270940000	293480000	147530000
17071000000	17084000000	17275000000	24047000000	25175000000	25480000000	23053000000	22005000000	20900000000
860830000	676860000	1092300000	1209700000	846960000	1015300000	985940000	1189100000	1297400000
32873000	40637000		39389000	82332000		78697000	143600000	
1294000000	1949900000	1991400000	1765900000	1232500000	1272200000	863230000	360320000	886910000
654540000	571000000	362900000	317500000	663640000	829170000	568780000	430540000	514090000
81511000	79440000	91854000					129830000	106060000
136930000	99475000	147300000		44696000				54398000
196490000	151730000	109310000	164120000	74187000	138360000		127970000	
635240000	627160000	312910000	190330000	319460000	382370000			211380000
1012700000	1091600000	889520000	1207700000	1014400000	1011300000	940900000	767310000	1007500000
3591700000	3684700000	5066600000	5286400000	4754900000	3965000000	4521100000	5007700000	4725100000
533070000	552180000	194600000	643870000	472220000	478730000	408210000	496010000	375040000
	72071000		100160000	82941000			92835000	112380000
1457900000	1879400000	1623000000	2080800000	2415900000	2468100000	1411300000	2009100000	1582600000
7.22E+11	7.02E+11	6.00E+11	3.74E+11	5.53E+11	5.07E+11	4.61E+11	4.51E+11	4.46E+11
					29347000			
220760000	267610000	224250000	376300000	183860000		191130000	280940000	287040000
8867300000	8282800000	9782000000	11141000000	8976200000	10700000000	9972900000	9706300000	8955400000
227970000	149210000	274060000	154830000	919960000	399170000	618860000	790900000	758860000
283750000	365220000	228680000	261250000	322840000	449950000	233140000	298620000	304780000
				25449000				
132430000	254680000	331650000	642810000	149250000	226850000	401020000	456170000	371180000
	152270000		87154000	71755000		61699000	28031000	
15183000000	16878000000	14926000000	16666000000	14536000000	11962000000	8324500000	8400200000	9619000000
10295000000	10641000000	10053000000	10557000000	9321500000	10308000000	5432800000	5724300000	5416200000
			262130000			255470000		453990000
263060000	106590000			258990000	346270000		149840000	
	200200000	190570000	441630000	579650000	453990000	515990000	515720000	356100000
2662200000	2960200000	2917300000	2351100000	2150200000	2510500000	1814500000	2319700000	2139300000
527800000	578800000	258850000	294810000	264170000	507680000	271750000	245910000	339030000
721830000	789530000	807860000	895450000	820500000	824180000	896360000	1028300000	1381200000
2828100000	2696100000	2720300000	3162800000	2878500000	3235200000	3056100000	3367500000	3211400000
643330000	733600000	596000000	673600000	722410000	433740000	468730000	547090000	450600000
837180000	619570000	812150000	339320000	243090000	352710000	371210000	364360000	833690000
2997800000	2830200000	3580100000	2808100000	2965000000	3181900000	2472800000	2416900000	3250100000
147540000	156900000			198090000				34780000
309870000	219750000	286930000	348590000		114970000	246360000	202900000	233350000
	50171000	86775000	103010000					
11180000000	10897000000	12771000000	13388000000	12449000000	12173000000	12935000000	15765000000	12176000000
1276400000	950470000	1726500000	3403600000	1365800000	1729900000	1049200000	1726400000	1372800000
81050000						49976000		
							38453000	
5156300000	5400800000	6694600000	5287900000	5729800000	5040100000	5278000000	6004200000	6698500000
12576000000	12528000000	11370000000	9895900000	9454600000	10383000000	11087000000	12609000000	11225000000
78788000	83862000	85497000				109830000	113770000	87116000
154910000	179240000			424920000	208260000			
				120770000				
60592000	17407000			200180000		217210000	22453000	31055000
24049000			22634000	270750000	347430000	58912000	45263000	49170000
								87526000
2827000000	3474200000	3108500000	4354700000	2935000000	3272800000	2947600000	3907700000	4002600000
		249030000						
		379730000		457750000			609650000	
			337570000	197530000	220830000	260200000	341140000	203620000
1436100000	1822400000	1663400000	2086100000	1668800000	1636600000	1439500000	1612100000	1622500000
106230000	147840000	122660000	274780000	428240000	471980000	446600000	312190000	525190000
244940000	258890000	210010000	304390000	225720000	197650000	153180000	201720000	225240000
141300000			272920000	255970000	242080000	152290000	271340000	287250000
6499500000	7510800000	6154500000	8838600000	6604100000	7568500000	4212000000	7736400000	7172000000
4069900000	4516600000	3747100000	5224200000	3488000000	5073100000	5095100000	4596100000	5076600000
				178730000	409630000			139350000
4872600000	4463100000	4893400000	6527900000	4752400000	5265400000	5044700000	5195600000	5361300000
303680000	338630000	128970000	365730000	447570000	401120000	308900000	421910000	333970000
83501000				155620000	107510000			
739660000	324430000	373770000	561920000	406600000	455430000	342200000	530090000	371810000
174710000	123120000	215710000	101930000	103620000	185030000		234950000	186580000
37069000000	38122000000	37455000000	18578000000	16768000000	19695000000	30930000000	28194000000	29740000000
156040000	107890000	528540000	103490000	353210000		304090000	199920000	140620000
810430000	1083700000	1057300000	1518300000	1431100000	1190800000	1224800000	1159000000	849420000
4306400000	4737400000	4812700000	4604200000	5389700000	2023500000	2990800000	2627700000	4258800000
538230000	234160000	284650000	339340000	667480000	997540000	955160000	1039300000	1127000000
	123900000	157170000	81075000	433160000		156230000	111370000	101940000
1.16E+11	1.15E+11	1.20E+11	56128000000	69048000000	70107000000	63591000000	61034000000	67953000000
7.87E+11	7.81E+11	7.71E+11	3.92E+11	3.60E+11	3.53E+11	3.83E+11	4.28E+11	4.23E+11
3244800000	6201500000	6163400000	3073900000	2223100000	2550200000	2125400000	2684300000	2445000000
		229390000		96454000	188480000			
50122000	40672000		25767000		137720000		22893000	
		109180000	87112000	114980000	105820000	64397000	81679000	
							69965000	51431000
254010000		292430000	921740000	731230000	791100000	742460000	930040000	1148200000
16138000000	16515000000	16518000000	17771000000	13605000000	11724000000	12068000000	12475000000	14546000000
40262000000	37921000000	38384000000	38111000000	48169000000	47770000000	40449000000	39868000000	43656000000
						69937000		
2127400000	1583500000	2904000000	1635900000	780640000		776430000	1303000000	2410100000
167900000	168530000	129540000	257490000	127770000	299920000	243150000		308100000
159210000	138880000	188040000	220390000	123700000		96048000	273850000	118900000
1904800000	1708100000	2119100000	2581200000	1956500000	2622100000	2379300000	2763500000	1858700000
		26899000				17664000	39181000	25523000
416090000	415620000	530010000	994040000	564290000	608160000		485880000	506600000
490910000	584570000	453600000	398870000	534610000	825910000	524310000	606630000	377330000
			130950000		63244000	76070000	62972000	
285010000	292110000	309440000	543710000	437700000	323710000	266900000	346850000	392000000
3493100000	3544700000	3536700000	5047100000	4623600000	5311400000	3755900000	4756500000	3927500000
1170800000	938060000	1448600000	653460000	534660000	657170000	735940000	734630000	621250000
216420000	190830000		105260000	211190000		160080000	328820000	
36000000	59629000	136860000	131660000		37413000		54035000	
		35715000	51140000					
327580000	322870000		437480000	539270000	497000000	305630000	422010000	399240000
36785000000	27572000000	31284000000	25235000000	29894000000	33717000000	28269000000	30747000000	26272000000
686270000	779580000	714740000	696010000	888520000	757720000	396180000	359270000	277920000
77520000	70360000		77483000		89958000		98853000	
144280000	147920000	136990000	103060000	149120000	251410000	183890000	135560000	127750000
623090000	545810000	478480000	688650000	623510000	529940000	493140000	628230000	504020000
3182900000	3226100000	2848200000	3138300000	3677700000	3981300000	2919100000	2318800000	3063000000
217260000	230470000	395270000	811780000	407310000	500700000	407460000	664510000	728240000
			80093000					
179090000	160360000	54302000	237450000	342730000	273130000	291190000	202120000	94295000
	27344000			35710000	25048000			
12950000								
16240000000	17069000000	17615000000	14093000000	12272000000	14287000000	13904000000	15008000000	16048000000
180130000	337040000	218810000	527040000	405790000	478890000	299640000	245510000	364650000
255170000	195170000	504860000	249950000	71801000	101390000	130470000		112050000
	96529000	155900000	94280000		186150000	163300000	196880000	290100000
54286000	42965000					42533000		
38098000000	60359000000	45363000000	73520000000	37585000000	2708000000	63161000000	65826000000	51694000000
186830000	125280000	295690000	413610000	238210000	206000000	219320000	348140000	276800000
63315000	180510000	299890000	231300000		288800000	163230000	153480000	
1333900000	1064000000	1092700000	1655800000	1294900000	1804900000	1456000000	1536900000	1044600000
39590000000	37685000000	33939000000	41751000000	41159000000	42626000000	33425000000	36515000000	40522000000
1616700000	1585900000	2003000000	1994800000	1619500000	1471100000	2054300000	1850300000	1786100000
		129500000	165130000	23200000	97427000			
362010000	308080000	293300000	632590000	382250000	359040000	384190000	293140000	371020000
13204000000	11235000000	14045000000	16504000000	15299000000	16193000000	13174000000	16255000000	16631000000
926910000	714670000	715350000	395620000			845800000	858920000	692380000
1067200000	671530000	692580000	325170000	352280000	325600000	310630000	615330000	417860000
7594900000	7929600000	8184200000	6457900000	4986100000	5191100000	5833900000	6885100000	7299700000
448870000	482430000	448580000	683280000	566200000	496200000	636430000	652500000	751030000
